year;month;day;tts_sentence;tts_interval_min;theme_box_id;light_pattern_id;light_colors_id
2031;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2031;4;11;Goede Vrijdag,  - ook zowat;280;13;2;13
2031;4;13;Vrolijk Pasen;71;17;9;5
2031;4;14;Tweede Paasdag;298;17;13;19
2031;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2031;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2031;5;4;Dodenherdenking;102;21;2;31
2031;5;5;Bevrijdingsdag;64;24;3;3
2031;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2031;5;22;Hemelvaart;117;11;2;29
2031;6;1;Eerste van de maand juni;157;23;4;7
2031;6;1;Pinksteren,  - iets met vurige tongen?;172;4;4;8
2031;6;2;Nog steeds Pinksteren,  - iets met vurige tongen?;220;4;4;8
2031;6;24;SintJan;61;24;27;5
2031;7;1;Eerste van de maand juli;171;23;4;7
2031;8;1;Eerste van de maand augustus;231;23;4;7
2031;9;1;Eerste van de maand september;282;23;4;7
2031;10;1;Eerste van de maand oktober;277;23;4;7
2031;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2031;11;1;Eerste van de maand november;221;23;4;7
2031;12;1;Eerste van de maand december;165;23;4;7
2031;12;5;Sinterklaas;113;12;6;28
2031;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2031;12;25;Vrolijk Kerstfeest;95;8;26;30
2031;12;26;Tweede Kerstdag;108;8;5;20
2031;12;28;Onnozele Kinderen;77;10;26;35
2032;1;1;Gelukkig Nieuwjaar;77;24;2;40
2032;1;13;Suikerfeest;168;10;7;1
2032;1;13;Suikerfeest;243;10;7;1
2032;2;1;Eerste van de maand februari;249;23;4;7
2032;2;8;Carnaval, Keiebijters!!;101;24;3;7
2032;2;9;RosenMoontach, Alaaf!!;103;24;3;7
2032;2;11;Aswoensdag ,  - het is  uit met de carnavalspret;265;21;5;21
2032;2;14;Valentijns en verlovingsdag;70;24;6;42
2032;3;1;Eerste van de maand maart;287;23;4;7
2032;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2032;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2032;3;26;Goede Vrijdag;258;13;2;13
2032;3;28;Vrolijk Pasen;86;17;9;5
2032;3;29;Tweede Paasdag;253;17;13;19
2032;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2032;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2032;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2032;5;4;Dodenherdenking;102;21;2;31
2032;5;5;Bevrijdingsdag;64;24;3;3
2032;5;6;Hemelvaart;132;11;2;29
2032;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2032;5;16;Pinksteren,  - de Heilige Geest zien vliegen???;170;4;4;8
2032;5;17;Nog steeds Pinksteren,  - de Heilige Geest zien vliegen???;181;4;4;8
2032;6;1;Eerste van de maand juni;157;23;4;7
2032;6;24;SintJan;61;24;27;5
2032;7;1;Eerste van de maand juli;171;23;4;7
2032;8;1;Eerste van de maand augustus;231;23;4;7
2032;9;1;Eerste van de maand september;282;23;4;7
2032;10;1;Eerste van de maand oktober;277;23;4;7
2032;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2032;11;1;Eerste van de maand november;221;23;4;7
2032;12;1;Eerste van de maand december;165;23;4;7
2032;12;5;Sinterklaas;113;12;6;28
2032;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2032;12;25;Vrolijk Kerstfeest;95;8;26;30
2032;12;26;Tweede Kerstdag;108;8;5;20
2032;12;28;Onnozele Kinderen;77;10;26;35
2033;1;1;Gelukkig Nieuwjaar;77;24;2;40
2033;1;2;Suikerfeest;251;10;7;1
2033;2;1;Eerste van de maand februari;249;23;4;7
2033;2;14;Valentijns en verlovingsdag;70;24;6;42
2033;2;27;Carnaval, En deh hittie naw gedonn umdettie Hellemonder is;83;24;3;7
2033;2;28;RosenMoontach, Keiebijters!!;89;24;3;7
2033;3;1;Eerste van de maand maart;287;23;4;7
2033;3;2;Aswoensdag ,  - en dan nu: vasten;239;21;5;21
2033;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2033;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2033;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2033;4;15;Goede Vrijdag, holadiejee;213;13;2;13
2033;4;17;Vrolijk Pasen;95;17;9;5
2033;4;18;Tweede Paasdag, waar is de paashaas??;260;17;13;19
2033;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2033;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2033;5;4;Dodenherdenking;102;21;2;31
2033;5;5;Bevrijdingsdag;64;24;3;3
2033;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2033;5;26;Hemelvaart;127;11;2;29
2033;6;1;Eerste van de maand juni;157;23;4;7
2033;6;5;Pinksteren;145;4;4;8
2033;6;6;Nog steeds Pinksteren;169;4;4;8
2033;6;24;SintJan;61;24;27;5
2033;7;1;Eerste van de maand juli;171;23;4;7
2033;8;1;Eerste van de maand augustus;231;23;4;7
2033;9;1;Eerste van de maand september;282;23;4;7
2033;10;1;Eerste van de maand oktober;277;23;4;7
2033;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2033;11;1;Eerste van de maand november;221;23;4;7
2033;12;1;Eerste van de maand december;165;23;4;7
2033;12;5;Sinterklaas;113;12;6;28
2033;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2033;12;25;Vrolijk Kerstfeest;95;8;26;30
2033;12;26;Tweede Kerstdag;108;8;5;20
2033;12;28;Onnozele Kinderen;77;10;26;35
2034;1;1;Gelukkig Nieuwjaar;77;24;2;40
2034;2;1;Eerste van de maand februari;249;23;4;7
2034;2;14;Valentijns en verlovingsdag;70;24;6;42
2034;2;19;Carnaval, Agge mar leut heht;80;24;3;7
2034;2;20;RosenMoontach, En deh hittie naw gedonn umdettie Hellemonder is;94;24;3;7
2034;2;22;Aswoensdag ,  - en nu begint de katholieke ramadan;197;21;5;21
2034;3;1;Eerste van de maand maart;287;23;4;7
2034;3;14;piedag - drie komma een vier enzovoortsen nog meer decimalen;95;9;28;6
2034;3;21;Hartelijk gefeliciteerd,  Thomas;73;15;3;14
2034;4;1;Eerste van de maand april, een april, kikker in je bil!;265;23;4;7
2034;4;7;Goede Vrijdag;187;13;2;13
2034;4;9;Vrolijk Pasen;90;17;9;5
2034;4;10;Tweede Paasdag;314;17;13;19
2034;4;30;Hartelijk gefeliciteerd,  Paul;98;15;3;14
2034;5;1;Eerste van de maand mei- leggen alle vogeltjes een ei;202;23;4;7
2034;5;4;Dodenherdenking;102;21;2;31
2034;5;5;Bevrijdingsdag;64;24;3;3
2034;5;10;Hartelijk gefeliciteerd,  Gaia;73;15;3;14
2034;5;18;Hemelvaart;107;11;2;29
2034;5;28;Pinksteren,  - wat is dat ook weer??;121;4;4;8
